County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
183,IN,Whitley County,15186,32225,$735347,$572669,$8927,$17909
1,IA,Adair County,3606,7431,$152397,$100300,$3248,$6153
3,IA,Adams County,1996,4104,$69265,$47429,$988,$4464
5,IA,Allamakee County,6598,14290,$251824,$169927,$3600,$13880
7,IA,Appanoose County,6088,12113,$196044,$136833,$4486,$7687
9,IA,Audubon County,2932,6077,$113890,$70720,$1946,$6602
11,IA,Benton County,11543,25437,$578478,$437229,$8565,$17861
13,IA,Black Hawk County,57287,112664,$2739507,$1954364,$61474,$80236
15,IA,Boone County,12142,25161,$592617,$431556,$9916,$17860
17,IA,Bremer County,10155,22100,$564480,$388591,$11341,$21340
19,IA,Buchanan County,9158,20170,$417841,$289867,$6621,$17732
21,IA,Buena Vista County,8662,19260,$372574,$249997,$6426,$16866
23,IA,Butler County,6937,14653,$298589,$202907,$4498,$11027
25,IA,Calhoun County,4855,9842,$198225,$121306,$3945,$9436
27,IA,Carroll County,9620,20498,$464530,$300914,$10895,$22087
29,IA,Cass County,6553,13376,$259769,$168275,$5824,$13023
31,IA,Cedar County,8414,17784,$410361,$301672,$6742,$14666
33,IA,Cerro Gordo County,21432,41839,$983029,$692518,$20960,$37064
35,IA,Cherokee County,5702,11608,$250835,$151400,$6222,$11948
37,IA,Chickasaw County,5745,12308,$262724,$166684,$3940,$12728
39,IA,Clarke County,4258,8961,$162090,$124605,$2019,$6139
41,IA,Clay County,8122,16662,$378938,$246005,$6712,$16856
43,IA,Clayton County,8547,17787,$334955,$226458,$6415,$22852
45,IA,Clinton County,23121,47142,$991457,$720957,$17510,$30460
47,IA,Crawford County,7282,16488,$295176,$200140,$5698,$12650
49,IA,Dallas County,25851,57919,$1984688,$1502018,$31510,$64965
51,IA,Davis County,3528,8161,$126711,$92091,$1631,$4289
53,IA,Decatur County,3428,7020,$106429,$79947,$1441,$4741
55,IA,Delaware County,7785,17286,$363586,$246580,$5440,$16559
57,IA,Des Moines County,19395,38399,$938617,$581670,$26873,$31059
59,IA,Dickinson County,8220,16172,$473446,$258542,$14055,$23900
61,IA,Dubuque County,42297,87482,$2171559,$1484973,$47133,$97353
63,IA,Emmet County,4727,9669,$183784,$125415,$3202,$6822
65,IA,Fayette County,9272,19106,$357811,$236877,$6773,$16669
67,IA,Floyd County,7536,15687,$315326,$208269,$6538,$15194
69,IA,Franklin County,4666,10126,$200441,$132481,$3889,$8776
71,IA,Fremont County,3572,7377,$148692,$101723,$2341,$5667
73,IA,Greene County,4470,9243,$189455,$123586,$5383,$8779
75,IA,Grundy County,5582,12092,$303676,$195644,$8368,$11910
77,IA,Guthrie County,5133,10798,$245447,$160067,$3993,$10201
79,IA,Hamilton County,7199,15133,$350878,$231048,$6711,$14417
81,IA,Hancock County,5317,11252,$234328,$161931,$3902,$9491
83,IA,Hardin County,7963,16333,$372343,$235101,$8809,$17823
85,IA,Harrison County,6820,14466,$300580,$220166,$3630,$9587
87,IA,Henry County,8815,18436,$370799,$264677,$9875,$12420
89,IA,Howard County,4551,9462,$191109,$120221,$3338,$10651
91,IA,Humboldt County,4644,9610,$218703,$134001,$6193,$8267
93,IA,Ida County,3382,7097,$155431,$95618,$2865,$8867
95,IA,Iowa County,7495,16171,$393306,$265392,$7340,$19128
97,IA,Jackson County,9365,19374,$375048,$271831,$7234,$16739
99,IA,Jasper County,16617,34781,$792985,$568484,$14759,$25566
101,IA,Jefferson County,7111,13873,$347180,$198532,$12374,$14071
103,IA,Johnson County,52542,101289,$3251124,$2313963,$157775,$98468
105,IA,Jones County,9006,18680,$394709,$286899,$6971,$15695
107,IA,Keokuk County,4902,10191,$182118,$130386,$3387,$8707
109,IA,Kossuth County,7413,15549,$333538,$196457,$6630,$16464
111,IA,Lee County,16586,33066,$667824,$465472,$15835,$23916
113,IA,Linn County,94617,193336,$5462679,$4060036,$112894,$168856
115,IA,Louisa County,5061,11281,$222561,$156293,$2833,$5944
117,IA,Lucas County,4060,8645,$152195,$109770,$3531,$6154
119,IA,Lyon County,4866,11298,$226642,$148013,$2885,$10058
121,IA,Madison County,6603,14848,$357819,$267633,$4943,$10427
123,IA,Mahaska County,9756,20709,$472773,$320627,$10972,$17223
125,IA,Marion County,14255,31534,$733380,$545403,$16756,$25421
