County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
25,SD,Clark County,1566,3163,$62404,$31927,$1323,$4010
27,SD,Clay County,5015,9858,$218294,$146151,$5915,$7549
29,SD,Codington County,12696,25828,$589243,$399573,$10668,$24451
31,SD,Corson County,1355,3274,$32156,$23788,$294,$1445
33,SD,Custer County,3545,6967,$162702,$93684,$3895,$7581
35,SD,Davison County,8914,17909,$437801,$278893,$10319,$26543
37,SD,Day County,2765,5456,$98518,$58843,$2322,$6017
39,SD,Deuel County,2074,4433,$88040,$58890,$1099,$4272
41,SD,Dewey County,2396,5777,$60414,$52844,$627,$1740
43,SD,Douglas County,1373,2970,$48695,$30301,$1138,$2877
45,SD,Edmunds County,1774,3625,$74070,$43950,$2028,$4235
47,SD,Fall River County,3627,6663,$126152,$78066,$2133,$5495
49,SD,Faulk County,989,1956,$39052,$17599,$906,$2972
51,SD,Grant County,3602,7477,$176172,$103686,$7715,$7104
53,SD,Gregory County,2059,4089,$75020,$38913,$1816,$6117
55,SD,Haakon County,940,1924,$40586,$21018,$1815,$2943
57,SD,Hamlin County,2269,5273,$106015,$64034,$1594,$4149
59,SD,Hand County,1568,3267,$63284,$32818,$1447,$4451
61,SD,Hanson County,2047,4373,$108254,$44393,$3374,$7034
63,SD,Harding County,547,1190,$20137,$11337,$350,$1021
65,SD,Hughes County,7745,15880,$404591,$280701,$7248,$13441
67,SD,Hutchinson County,3261,6797,$132541,$76206,$3191,$9013
69,SD,Hyde County,627,1343,$24625,$13938,$687,$1713
71,SD,Jackson County,1051,2386,$26109,$17479,$478,$1835
73,SD,Jerauld County,969,1870,$32185,$21114,$724,$2044
75,SD,Jones County,475,938,$14855,$10323,$380,$1014
77,SD,Kingsbury County,2569,5128,$108881,$62799,$2214,$6383
79,SD,Lake County,5212,10577,$250188,$156581,$4720,$10461
81,SD,Lawrence County,11052,20803,$522476,$313528,$14286,$20961
83,SD,Lincoln County,15885,36040,$1275957,$899107,$26703,$39647
85,SD,Lyman County,1580,3473,$50450,$34350,$861,$2737
87,SD,McCook County,2452,5356,$110074,$71757,$2264,$4798
89,SD,McPherson County,1142,2242,$39931,$19021,$1187,$3016
91,SD,Marshall County,1967,3932,$59801,$45673,$1646,$4435
93,SD,Meade County,12477,25901,$525390,$375703,$6368,$16646
95,SD,Mellette County,714,1593,$18184,$12469,$122,$896
97,SD,Miner County,1116,2243,$42669,$25271,$769,$2398
99,SD,Minnehaha County,83038,165411,$4511963,$3239855,$81880,$133968
101,SD,Moody County,2957,6126,$142491,$89836,$1948,$5443
103,SD,Pennington County,46011,91211,$2303917,$1469620,$54617,$91705
105,SD,Perkins County,1391,2825,$44779,$27092,$825,$3483
107,SD,Potter County,1163,2332,$52479,$22923,$2559,$4248
109,SD,Roberts County,4502,9547,$163737,$99566,$1918,$7325
111,SD,Sanborn County,1129,2269,$38931,$26419,$627,$2264
113,SD,Shannon County,4211,10850,$92629,$83191,$126,$576
115,SD,Spink County,2898,5923,$123117,$66121,$5578,$6876
117,SD,Stanley County,1414,2796,$67236,$44740,$1785,$2649
119,SD,Sully County,643,1352,$33073,$17428,$1706,$2188
121,SD,Todd County,3258,7974,$73415,$62907,$424,$1037
123,SD,Tripp County,2632,5468,$86992,$53230,$1692,$5908
125,SD,Turner County,3781,8060,$168437,$110699,$2169,$6538
127,SD,Union County,6388,13984,$595173,$317521,$19844,$23066
129,SD,Walworth County,2673,5259,$106792,$58592,$2172,$6810
135,SD,Yankton County,9961,20090,$456827,$306283,$11191,$19221
137,SD,Ziebach County,470,1143,$10025,$9770,$181,$527
1,TN,Anderson County,34626,69216,$1510337,$1082869,$28365,$49819
3,TN,Bedford County,19646,43681,$717211,$554897,$9858,$23426
5,TN,Benton County,7810,15563,$234860,$169064,$2726,$10230
7,TN,Bledsoe County,5116,10629,$147548,$113525,$1352,$3730
9,TN,Blount County,55500,113509,$2524877,$1848943,$37047,$75956
11,TN,Bradley County,42953,89133,$1682703,$1265215,$21455,$48499
13,TN,Campbell County,18228,36503,$514256,$394685,$3959,$17808
15,TN,Cannon County,6283,13021,$217126,$170318,$1764,$6534
17,TN,Carroll County,14283,28759,$441400,$340883,$3466,$12873
19,TN,Carter County,27366,52383,$826232,$617514,$10685,$24588
21,TN,Cheatham County,17274,37392,$785657,$643673,$4891,$14588
23,TN,Chester County,6959,14726,$234193,$182446,$1718,$5895
25,TN,Claiborne County,14825,30064,$430862,$328189,$3635,$18829
27,TN,Clay County,3595,7133,$93677,$66333,$446,$4142
29,TN,Cocke County,17283,33542,$461641,$351532,$4830,$12969
31,TN,Coffee County,23704,49798,$931940,$677236,$11076,$32022
33,TN,Crockett County,6590,13804,$214493,$169876,$1673,$6918
35,TN,Cumberland County,26267,52096,$977847,$520608,$24713,$42317
37,TN,Davidson County,285945,532727,$14601587,$10614724,$329954,$474619
39,TN,Decatur County,5419,10889,$160424,$124915,$1066,$5257
41,TN,DeKalb County,8438,17630,$268562,$210425,$2416,$11311
43,TN,Dickson County,21697,46023,$893344,$699281,$8410,$21800
45,TN,Dyer County,17656,36691,$646114,$492472,$8483,$16217
47,TN,Fayette County,17440,36502,$909981,$668526,$9831,$30337
49,TN,Fentress County,8048,16505,$208238,$149184,$1225,$7908
51,TN,Franklin County,18322,37714,$719664,$516114,$11644,$22088
53,TN,Gibson County,23022,47275,$766150,$589417,$7677,$23203
55,TN,Giles County,13681,27941,$484054,$362076,$6164,$19055
57,TN,Grainger County,9899,20518,$307195,$242252,$2879,$8076
59,TN,Greene County,32366,63600,$1068508,$787186,$16779,$35311
61,TN,Grundy County,6544,13443,$153467,$120332,$1067,$3598
63,TN,Hamblen County,28283,59665,$1032264,$785268,$12546,$30026
65,TN,Hamilton County,148982,296282,$7283147,$5356330,$157601,$206352
67,TN,Hancock County,2626,5281,$61039,$48265,$268,$1839
69,TN,Hardeman County,11905,24149,$344269,$269507,$2954,$9437
71,TN,Hardin County,12106,24705,$387495,$281487,$5379,$16515
73,TN,Hawkins County,26283,53838,$871511,$674805,$8304,$24166
75,TN,Haywood County,9048,18720,$278403,$216319,$2744,$6757
77,TN,Henderson County,12685,26317,$429764,$334949,$3880,$12856
79,TN,Henry County,15151,30205,$501803,$339097,$9155,$20411
81,TN,Hickman County,10239,21388,$334559,$262792,$2820,$7514
83,TN,Houston County,3552,7407,$113174,$88600,$520,$2918
85,TN,Humphreys County,8488,17530,$318668,$241222,$4585,$11563
87,TN,Jackson County,5707,11227,$150686,$110971,$1259,$5179
89,TN,Jefferson County,22903,47403,$799420,$606441,$9616,$24757
91,TN,Johnson County,7972,15297,$223726,$161390,$2611,$9001
93,TN,Knox County,186890,371511,$9844337,$7223200,$184580,$292781
95,TN,Lake County,2578,4969,$67715,$48377,$1179,$2165
97,TN,Lauderdale County,11120,23035,$332479,$269073,$2578,$7196
99,TN,Lawrence County,18183,38311,$576210,$431606,$4941,$20488
101,TN,Lewis County,5116,10776,$146564,$111616,$715,$3941
103,TN,Lincoln County,15057,31310,$573709,$441277,$6718,$16571
105,TN,Loudon County,21942,44971,$1146411,$704409,$31175,$45214
107,TN,McMinn County,23535,48833,$846182,$640597,$8383,$25685
109,TN,McNairy County,11973,24624,$361833,$274242,$2817,$8284
111,TN,Macon County,9688,20773,$289642,$227729,$2159,$11777
113,TN,Madison County,42579,87911,$1843225,$1394452,$28634,$55830
115,TN,Marion County,13637,27730,$481400,$370473,$4911,$11415
117,TN,Marshall County,13787,29267,$511567,$403577,$7674,$15662
119,TN,Maury County,36223,75439,$1589061,$1203102,$20814,$37089
121,TN,Meigs County,5267,10848,$175610,$134183,$1508,$4271
123,TN,Monroe County,20135,41553,$711202,$498594,$10731,$21984
125,TN,Montgomery County,67433,149978,$2885726,$2234312,$30447,$57333
127,TN,Moore County,2693,5785,$115232,$89659,$1339,$3698
129,TN,Morgan County,9146,18850,$269213,$217157,$1582,$6847
131,TN,Obion County,15000,30797,$551205,$405789,$8065,$19122
133,TN,Overton County,9934,20388,$299591,$221316,$1551,$10062
135,TN,Perry County,3480,7130,$108606,$75959,$1324,$4846
137,TN,Pickett County,2337,4651,$66119,$45362,$1419,$2918
139,TN,Polk County,8029,16381,$247893,$188234,$2753,$7007
141,TN,Putnam County,29969,61122,$1293898,$853554,$20781,$51748
143,TN,Rhea County,13858,28790,$484647,$367052,$2976,$11139
145,TN,Roane County,25107,50696,$1062259,$772472,$13703,$30703
147,TN,Robertson County,28886,62846,$1256802,$1020915,$8904,$26224
149,TN,Rutherford County,105846,228336,$5245617,$4241411,$58359,$97229
151,TN,Scott County,9682,20454,$256687,$206249,$1095,$6987
153,TN,Sequatchie County,5998,12669,$212186,$157065,$2023,$5966
155,TN,Sevier County,40044,80043,$1515198,$1035824,$15705,$58557
157,TN,Shelby County,414029,862537,$20692510,$16168535,$395791,$514864
159,TN,Smith County,8603,18082,$315049,$248001,$3679,$12331
161,TN,Stewart County,5897,12488,$207585,$156019,$1514,$5484
163,TN,Sullivan County,74882,147109,$3178194,$2241096,$64598,$110341
165,TN,Sumner County,67772,146328,$3592171,$2748918,$44322,$93156
167,TN,Tipton County,25738,56966,$1074431,$867515,$6637,$16671
169,TN,Trousdale County,3544,7310,$118181,$96962,$896,$3656
171,TN,Unicoi County,8732,16937,$284476,$215767,$2488,$8774
173,TN,Union County,8253,17517,$245713,$194838,$1528,$5882
175,TN,Van Buren County,2505,5108,$72030,$51205,$545,$2332
177,TN,Warren County,17814,37534,$572525,$427798,$8231,$22247
179,TN,Washington County,53714,105135,$2405416,$1761420,$37647,$77925
181,TN,Wayne County,6791,13967,$189811,$149148,$1355,$7606
183,TN,Weakley County,14265,28987,$499675,$375672,$5738,$18789
185,TN,White County,11697,23890,$352050,$262684,$3236,$10885
187,TN,Williamson County,66380,161489,$7113787,$5026410,$159878,$218156
189,TN,Wilson County,47547,103473,$2725059,$2080304,$33263,$68715
1,TX,Anderson County,19294,40498,$729603,$552833,$9279,$19011
3,TX,Andrews County,5765,13562,$303389,$234090,$4209,$6235
5,TX,Angelina County,35485,77045,$1483818,$1013888,$38883,$43652
7,TX,Aransas County,10339,20253,$467320,$246500,$18054,$28623
9,TX,Archer County,3744,8195,$188818,$125444,$2980,$6842
11,TX,Armstrong County,964,2063,$41240,$30107,$681,$2450
13,TX,Atascosa County,18433,40990,$644964,$508249,$6417,$12286
15,TX,Austin County,11718,25540,$613075,$439668,$10749,$22151
17,TX,Bailey County,2631,6256,$97518,$64829,$2427,$3623
19,TX,Bandera County,8332,16852,$410869,$265000,$8636,$16195
21,TX,Bastrop County,28171,61141,$1254337,$980609,$12562,$25045
23,TX,Baylor County,1674,3390,$56304,$34955,$1029,$2952
25,TX,Bee County,10389,22120,$362605,$264666,$4955,$9683
27,TX,Bell County,126269,277647,$4932753,$3918426,$50354,$118294
29,TX,Bexar County,693380,1456706,$31208385,$23583948,$547613,$1087657
31,TX,Blanco County,4070,8384,$265617,$145174,$6353,$21459
33,TX,Borden County,223,488,$13634,$5937,$127,$668
35,TX,Bosque County,7409,15592,$301912,$203303,$6219,$12097
37,TX,Bowie County,39481,81249,$1649099,$1193462,$27694,$55716
39,TX,Brazoria County,116937,268785,$7103142,$5914008,$81145,$123775
41,TX,Brazos County,59406,124423,$2968267,$2160624,$71105,$87372
43,TX,Brewster County,3980,7557,$153651,$98176,$3869,$6057
45,TX,Briscoe County,677,1473,$24392,$13101,$215,$1161
47,TX,Brooks County,3503,7313,$88502,$70903,$822,$2144
49,TX,Brown County,16141,33390,$581348,$418070,$8556,$17203
51,TX,Burleson County,7426,15391,$290595,$215550,$3076,$10419
53,TX,Burnet County,17663,37097,$1032551,$551563,$32736,$49144
55,TX,Caldwell County,14605,31171,$539862,$418808,$5718,$12803
57,TX,Calhoun County,8711,19259,$404671,$268326,$4393,$10723
59,TX,Callahan County,6031,12628,$215699,$160689,$2527,$6798
61,TX,Cameron County,146219,351488,$4353029,$3427833,$47156,$95601
63,TX,Camp County,5325,11734,$187536,$140297,$4263,$8494
65,TX,Carson County,2554,5690,$118038,$90651,$1319,$7443
67,TX,Cass County,13954,28534,$497381,$371799,$5618,$16310
69,TX,Castro County,2883,6829,$88879,$65262,$846,$3514
71,TX,Chambers County,13812,31700,$775725,$642630,$10097,$11639
73,TX,Cherokee County,20233,44486,$721799,$526015,$12480,$24953
75,TX,Childress County,2529,5315,$87397,$59164,$971,$3863
77,TX,Clay County,4611,9746,$194297,$144810,$2467,$6709
79,TX,Cochran County,1360,3042,$48433,$30302,$545,$2685
81,TX,Coke County,1500,3017,$55903,$38229,$783,$1843
83,TX,Coleman County,3900,7870,$118197,$81704,$1758,$5087
85,TX,Collin County,285512,661526,$24056403,$19592590,$364543,$569275
87,TX,Collingsworth County,1225,2695,$43510,$27658,$449,$3200
89,TX,Colorado County,9034,18859,$389638,$267826,$8271,$19168
91,TX,Comal County,44836,96462,$2821628,$1862276,$52120,$97874
93,TX,Comanche County,5719,12227,$172379,$128174,$2789,$8965
95,TX,Concho County,1089,2291,$39838,$25764,$551,$1549
97,TX,Cooke County,16159,35015,$775452,$526255,$16331,$29406
99,TX,Coryell County,25138,60042,$862798,$716844,$6571,$17759
101,TX,Cottle County,715,1443,$18113,$12321,$228,$1229
103,TX,Crane County,1779,4328,$86455,$70723,$587,$1299
105,TX,Crockett County,1580,3580,$79659,$52269,$1268,$2795
107,TX,Crosby County,2571,5642,$88472,$56658,$784,$3449
109,TX,Culberson County,1104,2387,$31438,$25033,$345,$553
111,TX,Dallam County,2725,6219,$95876,$71243,$741,$3880
113,TX,Dallas County,953315,2077034,$50561600,$38892178,$1082997,$1834336
115,TX,Dawson County,5198,11253,$200570,$125308,$3308,$7908
117,TX,Deaf Smith County,7655,18763,$235363,$188703,$3986,$14220
119,TX,Delta County,2401,4834,$74043,$60018,$619,$1912
121,TX,Denton County,243486,555749,$17419642,$14449399,$206945,$318871
123,TX,DeWitt County,8184,16599,$338823,$224666,$5894,$13777
125,TX,Dickens County,900,1827,$27741,$19074,$390,$1051
127,TX,Dimmit County,4054,8990,$111504,$87880,$3227,$3032
129,TX,Donley County,1493,3068,$48244,$33535,$408,$2155
131,TX,Duval County,5040,10786,$158157,$128707,$605,$2767
133,TX,Eastland County,7809,16096,$282453,$190669,$13941,$13043
135,TX,Ector County,56163,123286,$2509089,$1973042,$27471,$49322
137,TX,Edwards County,883,1836,$29959,$17539,$666,$1845
139,TX,Ellis County,57777,135215,$3004883,$2464497,$26129,$54545
141,TX,El Paso County,313913,728682,$10435872,$8293965,$109526,$226148
143,TX,Erath County,13335,27955,$542436,$395993,$8061,$19586
145,TX,Falls County,6737,13788,$198035,$151623,$2154,$7181
147,TX,Fannin County,13461,28743,$495393,$386569,$5243,$15277
149,TX,Fayette County,10199,20926,$503416,$323799,$13598,$26097
151,TX,Fisher County,1673,3485,$55175,$39945,$717,$1620
153,TX,Floyd County,2708,6204,$100375,$59363,$1404,$4478
155,TX,Foard County,734,1425,$21568,$13370,$261,$1141
157,TX,Fort Bend County,200874,483359,$15163063,$12458700,$204781,$333140
159,TX,Franklin County,4940,10500,$188640,$132138,$4012,$7438
161,TX,Freestone County,7474,16535,$359259,$244566,$4381,$12207
163,TX,Frio County,5811,12734,$162581,$128801,$1872,$3980
165,TX,Gaines County,5740,14814,$240624,$165313,$1671,$6754
167,TX,Galveston County,121877,258921,$7120813,$5643777,$102719,$171596
169,TX,Garza County,1854,3966,$92654,$48680,$5789,$4702
171,TX,Gillespie County,10260,20653,$611199,$286766,$30196,$43241
173,TX,Glasscock County,458,1161,$30119,$13612,$461,$1354
175,TX,Goliad County,3034,6368,$146428,$90476,$2440,$5182
177,TX,Gonzales County,8044,17340,$263177,$196875,$4426,$11780
179,TX,Gray County,9285,20576,$532102,$310713,$34221,$13612
181,TX,Grayson County,51172,106998,$2230079,$1625353,$32062,$71571
183,TX,Gregg County,53502,115466,$2602910,$1810022,$48340,$87348
185,TX,Grimes County,10203,21645,$390779,$306065,$6213,$12772
187,TX,Guadalupe County,50697,113223,$2470774,$1895931,$29029,$53667
189,TX,Hale County,14049,31876,$509435,$352840,$6496,$15909
191,TX,Hall County,1413,3004,$40849,$26579,$471,$2680
193,TX,Hamilton County,3725,7678,$132852,$94703,$5294,$8147
195,TX,Hansford County,2061,5185,$103307,$66035,$2897,$4906
197,TX,Hardeman County,1798,3663,$53476,$42724,$657,$2736
199,TX,Hardin County,22598,49538,$1112883,$864389,$11852,$29697
201,TX,Harris County,1547068,3436765,$89933750,$71282146,$1701521,$2187679
203,TX,Harrison County,27281,58796,$1234583,$856315,$13982,$34906
205,TX,Hartley County,1478,3633,$71333,$51402,$1941,$4399
207,TX,Haskell County,2421,4971,$74436,$49051,$927,$3589
209,TX,Hays County,54515,117034,$3082103,$2269653,$53400,$76013
211,TX,Hemphill County,1419,3460,$112755,$57855,$1185,$4377
213,TX,Henderson County,32578,67536,$1236798,$860676,$20625,$44130
215,TX,Hidalgo County,253941,625690,$7506530,$6014593,$64360,$149351
217,TX,Hill County,14775,31359,$553686,$387057,$8689,$18065
219,TX,Hockley County,9528,21169,$398955,$296386,$5317,$10092
221,TX,Hood County,21348,44504,$1290232,$801519,$29049,$48768
223,TX,Hopkins County,14594,31404,$545167,$402068,$7013,$22353
225,TX,Houston County,8952,17869,$299688,$205531,$6967,$12995
227,TX,Howard County,12651,26529,$508229,$365178,$5358,$15405
229,TX,Hudspeth County,1264,3084,$31833,$24712,$268,$832
231,TX,Hunt County,34572,74433,$1377353,$1084938,$13935,$30822
233,TX,Hutchinson County,9554,20993,$474250,$349503,$6607,$12156
235,TX,Irion County,671,1436,$41634,$24496,$822,$2517
237,TX,Jack County,3220,7045,$156697,$105621,$1688,$5399
239,TX,Jackson County,6111,13317,$269719,$188495,$5229,$9023
241,TX,Jasper County,14914,31913,$572896,$427969,$5616,$14497
243,TX,Jeff Davis County,938,1916,$45069,$21775,$4487,$2356
245,TX,Jefferson County,104610,217434,$4669916,$3456004,$81623,$142912
247,TX,Jim Hogg County,2166,4729,$72233,$52888,$782,$2207
249,TX,Jim Wells County,17476,38548,$673204,$526731,$6269,$12922
251,TX,Johnson County,61262,137675,$3054578,$2360312,$23449,$57876
253,TX,Jones County,6702,14178,$229111,$172102,$2824,$5662
255,TX,Karnes County,5213,11038,$180857,$136959,$2173,$6632
257,TX,Kaufman County,41081,94412,$1933040,$1599799,$12737,$33923
259,TX,Kendall County,13415,29914,$1230977,$744877,$61310,$48743
261,TX,Kenedy County,160,345,$4651,$3939,$11,$60
263,TX,Kent County,319,662,$14181,$8350,$312,$467
265,TX,Kerr County,21609,42292,$1077348,$511685,$51084,$79759
267,TX,Kimble County,1999,4010,$71722,$42203,$2185,$4089
269,TX,King County,97,231,$4477,$3770,$40,$165
271,TX,Kinney County,1352,2885,$48550,$29805,$1115,$1825
273,TX,Kleberg County,12690,26619,$499557,$359079,$6167,$9054
275,TX,Knox County,1592,3340,$51235,$33159,$585,$1990
277,TX,Lamar County,21825,45418,$788557,$584220,$10802,$26222
279,TX,Lamb County,5846,13087,$165898,$135947,$1884,$7002
281,TX,Lampasas County,8271,17970,$356825,$255136,$6105,$12274
283,TX,La Salle County,2380,5133,$72461,$52450,$928,$2406
285,TX,Lavaca County,8593,17775,$378019,$250825,$7830,$17313
287,TX,Lee County,6605,14543,$291456,$220975,$4878,$9336
289,TX,Leon County,7463,15843,$308872,$209948,$4763,$12426
291,TX,Liberty County,29059,65501,$1173005,$988376,$8833,$20305
293,TX,Limestone County,9569,19892,$312571,$235530,$3420,$8963
295,TX,Lipscomb County,1230,2855,$77680,$41895,$953,$3581
297,TX,Live Oak County,3823,8160,$174652,$115386,$1668,$6490
299,TX,Llano County,7870,14846,$371002,$171116,$13364,$22837
301,TX,Loving County,18,34,$788,$516,$-1,$24
303,TX,Lubbock County,106327,217637,$4798316,$3422168,$81479,$161375
305,TX,Lynn County,2480,5565,$97650,$59833,$817,$3666
307,TX,McCulloch County,3653,7623,$124054,$79281,$2151,$5442
309,TX,McLennan County,93423,196473,$3869200,$2875327,$63867,$116983
311,TX,McMullen County,349,711,$14620,$8547,$190,$614
313,TX,Madison County,4550,9747,$152845,$116620,$2151,$7720
315,TX,Marion County,4617,8906,$143750,$97259,$2223,$5481
317,TX,Martin County,1803,4085,$86837,$55777,$991,$2965
319,TX,Mason County,1603,3287,$61491,$32291,$1481,$4361
321,TX,Matagorda County,15215,33557,$645364,$489443,$7564,$17440
323,TX,Maverick County,22660,57758,$534464,$454382,$1376,$5075
325,TX,Medina County,17232,37839,$733937,$540560,$9483,$19233
327,TX,Menard County,968,1955,$32469,$18709,$1946,$2098
329,TX,Midland County,53605,117414,$3462271,$2326082,$83890,$110390
331,TX,Milam County,10426,22422,$406503,$298107,$5204,$12504
333,TX,Mills County,1986,4118,$73213,$44629,$1428,$4810
335,TX,Mitchell County,2975,6335,$115910,$80290,$1579,$3445
337,TX,Montague County,8583,17941,$386816,$249451,$10336,$14562
339,TX,Montgomery County,162059,372102,$12376442,$9603592,$216028,$289643
341,TX,Moore County,7852,19591,$346508,$266792,$3198,$7534
343,TX,Morris County,6333,12873,$210793,$163836,$2149,$6876
345,TX,Motley County,497,994,$15599,$9073,$169,$769
347,TX,Nacogdoches County,23682,50224,$946291,$645687,$18851,$35006
349,TX,Navarro County,19709,43628,$742278,$560721,$11502,$24039
351,TX,Newton County,5105,10734,$157802,$132646,$1282,$3407
353,TX,Nolan County,6677,13964,$233307,$168056,$3592,$7492
355,TX,Nueces County,139702,289761,$5843211,$4392656,$96587,$173409
357,TX,Ochiltree County,3656,9406,$278597,$143806,$3920,$5355
359,TX,Oldham County,798,1810,$34224,$24481,$431,$1198
361,TX,Orange County,36848,78862,$1647805,$1299071,$15019,$33759
363,TX,Palo Pinto County,11632,24609,$475219,$338310,$6821,$15889
365,TX,Panola County,10117,21760,$499353,$329057,$6883,$16215
367,TX,Parker County,44117,98962,$2642476,$1998608,$35789,$61324
369,TX,Parmer County,3804,9752,$138657,$100426,$2376,$8693
371,TX,Pecos County,5543,12342,$226500,$181416,$1792,$3634
373,TX,Polk County,24250,47936,$990293,$477636,$33154,$46775
375,TX,Potter County,49444,103929,$1790703,$1332318,$30373,$52493
377,TX,Presidio County,4075,10174,$108763,$90390,$1752,$3289
379,TX,Rains County,4237,8801,$159584,$112147,$2683,$5116
381,TX,Randall County,48123,102989,$2714100,$1960835,$42320,$89756
383,TX,Reagan County,1300,3350,$65988,$53651,$459,$1125
385,TX,Real County,1418,2860,$50641,$24440,$1641,$3061
387,TX,Red River County,6083,11974,$170226,$129685,$1731,$6655
389,TX,Reeves County,4681,10215,$144471,$119540,$1255,$2780
391,TX,Refugio County,3427,7092,$153152,$98074,$2942,$5983
393,TX,Roberts County,317,748,$24587,$12328,$363,$950
395,TX,Robertson County,7052,14924,$294849,$186235,$4344,$10957
397,TX,Rockwall County,27781,67919,$2107769,$1656111,$29353,$52455
399,TX,Runnels County,4700,9762,$154914,$107508,$2374,$6238
401,TX,Rusk County,19680,42954,$852851,$612927,$11520,$24447
403,TX,Sabine County,4859,9693,$176436,$108697,$4237,$7543
405,TX,San Augustine County,3890,7794,$108993,$79069,$1119,$4234
407,TX,San Jacinto County,10144,21193,$384170,$280973,$6160,$14060
409,TX,San Patricio County,29534,65592,$1187986,$946904,$11841,$24069
411,TX,San Saba County,2321,4823,$77084,$48406,$1499,$4372
413,TX,Schleicher County,1207,2793,$61914,$40559,$663,$1333
415,TX,Scurry County,6502,14278,$305889,$215687,$5646,$9230
417,TX,Shackelford County,1374,3009,$62720,$39117,$897,$2662
419,TX,Shelby County,10510,22731,$382056,$274752,$3930,$14575
421,TX,Sherman County,934,2425,$40291,$26957,$415,$2007
423,TX,Smith County,84041,180922,$4338255,$2922023,$96639,$168644
425,TX,Somervell County,3198,7288,$162877,$120233,$1650,$3641
427,TX,Starr County,22923,58549,$519835,$434449,$998,$6878
429,TX,Stephens County,3752,7909,$148199,$92024,$2721,$6926
431,TX,Sterling County,473,1022,$31540,$15663,$551,$1036
433,TX,Stonewall County,641,1365,$21898,$14637,$778,$1552
435,TX,Sutton County,1921,4356,$115899,$75563,$1571,$2793
437,TX,Swisher County,3088,6813,$108023,$68800,$1459,$5875
439,TX,Tarrant County,713576,1576049,$40950778,$32498682,$567139,$901414
441,TX,Taylor County,55886,114908,$2401039,$1672183,$49164,$78297
443,TX,Terrell County,427,839,$22842,$10414,$467,$916
445,TX,Terry County,4849,10566,$177245,$113881,$2794,$6889
447,TX,Throckmorton County,670,1406,$49612,$15420,$478,$1806
449,TX,Titus County,11488,28117,$457128,$354572,$6010,$13100
451,TX,Tom Green County,47156,95577,$2215443,$1357212,$45707,$84624
453,TX,Travis County,403686,796471,$25231356,$18633070,$552999,$731527
455,TX,Trinity County,6285,12517,$191999,$135410,$3076,$5796
457,TX,Tyler County,8220,17207,$289590,$213264,$3099,$7396
459,TX,Upshur County,15474,33355,$612058,$454581,$6346,$16386
461,TX,Upton County,1327,3014,$66128,$43442,$624,$2474
463,TX,Uvalde County,11211,24931,$383970,$250044,$13238,$16430
465,TX,Val Verde County,20040,47175,$630316,$523308,$5339,$10882
467,TX,Van Zandt County,21210,45668,$814410,$608261,$11637,$23940
469,TX,Victoria County,37443,79578,$1764859,$1255140,$40163,$55812
471,TX,Walker County,19274,39082,$778210,$567807,$11610,$24916
473,TX,Waller County,13786,30858,$670468,$511247,$7712,$15790
475,TX,Ward County,4615,10137,$209292,$154563,$2381,$5004
477,TX,Washington County,14030,28627,$675141,$434121,$18276,$38973
479,TX,Webb County,89640,224950,$2800739,$2270612,$29303,$47765
481,TX,Wharton County,17879,38576,$745183,$534855,$10829,$27167
483,TX,Wheeler County,2204,4935,$120943,$65042,$1219,$3895
485,TX,Wichita County,53579,109406,$2325425,$1606105,$44769,$80429
487,TX,Wilbarger County,5791,11901,$210629,$150523,$2893,$6679
489,TX,Willacy County,7783,17901,$189351,$153196,$1317,$3384
491,TX,Williamson County,154317,352307,$10007290,$7970521,$144365,$217280
493,TX,Wilson County,16454,36985,$776653,$622906,$4935,$16050
495,TX,Winkler County,2831,6669,$133982,$102413,$1103,$2854
497,TX,Wise County,22435,51044,$1171810,$895704,$9754,$26892
499,TX,Wood County,17799,36611,$689857,$432520,$13311,$29522
501,TX,Yoakum County,3001,7700,$164920,$120774,$1399,$4856
503,TX,Young County,7844,16749,$366457,$221912,$7603,$16091
505,TX,Zapata County,4776,11434,$167516,$111795,$1133,$5003
507,TX,Zavala County,4732,10660,$98557,$81001,$769,$1468
1,UT,Beaver County,2442,6214,$97085,$73718,$721,$3509
3,UT,Box Elder County,18443,47473,$924287,$694056,$7567,$22500
5,UT,Cache County,37348,95803,$1880295,$1362736,$34547,$48010
7,UT,Carbon County,8674,19097,$376524,$296592,$2413,$8839
9,UT,Daggett County,337,730,$15758,$10925,$176,$510
11,UT,Davis County,109581,281534,$6769288,$5157972,$64120,$148207
13,UT,Duchesne County,6558,16460,$370485,$265775,$5244,$8503
15,UT,Emery County,4011,10134,$178915,$148151,$571,$3489
17,UT,Garfield County,1886,4399,$72540,$52650,$615,$2394
19,UT,Grand County,4284,8302,$189891,$116564,$5484,$7082
21,UT,Iron County,15299,37889,$660203,$457832,$7430,$22100
23,UT,Juab County,3451,9346,$151461,$125193,$618,$2820
25,UT,Kane County,2727,5877,$117986,$70133,$3052,$5879
27,UT,Millard County,4436,11705,$186363,$147799,$1394,$5644
29,UT,Morgan County,3217,8654,$237260,$163293,$1604,$5967
31,UT,Piute County,568,1311,$17203,$10534,$211,$777
33,UT,Rich County,745,1973,$38061,$24238,$446,$1256
