state_code,msamd,census_tract_number
39,18140,0083.60
34,15804,7022.03
51,40060,5004.00
36,40380,0022.00
46,,9526.00
36,35004,1233.02
53,42644,0521.08
72,41980,0021.00
34,20764,0081.01
47,32820,0094.00
48,19124,0169.01
53,42644,0303.06
72,41980,0013.00
29,28140,0139.03
48,19124,0096.08
36,15380,0157.00
35,,9434.00
48,23104,1115.33
37,39580,0528.01
36,35644,0302.00
48,12420,0017.14
48,46340,0019.04
36,35644,0855.00
48,41700,1214.02
36,,0622.00
37,16740,0313.01
51,13980,0210.00
48,19124,0164.09
34,35084,0113.03
48,26420,7236.00
39,17140,0112.00
53,42644,0321.03
39,17460,4030.01
42,11020,0113.00
54,34060,0102.00
41,38900,0068.02
37,39580,0537.11
37,39580,0541.05
45,34820,0512.00
34,35084,0122.00
29,28140,0010.00
42,38300,8078.00
34,20764,0082.09
31,,9533.00
53,42644,0254.00
44,39300,0107.02
27,33460,1071.00
37,49180,0703.00
39,18140,0083.50
48,23104,1302.09
49,39340,0005.01
27,33460,1069.00
39,17460,1531.06
48,23104,1134.04
49,39340,0032.01
42,38300,1911.00
39,19380,3653.02
42,10900,0060.01
39,17460,0706.00
35,,0004.01
37,39580,0524.05
48,11100,0216.02
39,17460,1752.01
42,10900,0153.00
34,20764,0526.01
53,42644,0033.00
39,17460,1069.00
36,15380,0080.01
40,36420,1037.00
32,,9804.05
37,20500,0011.00
36,35644,0516.00
36,45060,0112.02
48,19124,0067.00
31,,9833.00
29,41180,2204.32
34,12100,0127.02
48,19124,0129.00
29,28140,0012.00
53,42644,0059.00
39,,0001.03
48,19124,0305.01
39,19380,0505.01
39,48260,0006.00
39,45780,0082.01
36,35644,0026.00
53,44060,0127.01
72,41980,1221.00
53,44060,0039.00
36,35004,1462.05
35,,0011.00
36,,0802.00
29,28140,0044.00
48,19124,0404.00
39,10420,5204.00
39,17460,1762.00
39,17460,1407.02
36,35644,0374.00
42,37964,4041.01
39,17460,1074.00
34,20764,7390.00
49,41620,1128.12
42,37964,1046.03
42,38300,4930.00
42,38300,6047.00
51,,0405.00
39,17460,0801.01
27,33460,0502.28
48,41700,9703.00
42,38300,4610.00
37,47260,1104.00
42,38300,2601.00
47,,9605.00
36,10580,0131.00
72,41980,5107.00
32,29820,0056.12
39,19380,0027.00
36,,9616.00
72,38660,0709.00
56,,9753.00
37,25860,0112.00
36,35004,4098.00
40,36420,1073.06
32,29820,0061.03
42,49620,0230.00
42,,1117.00
39,17460,1403.01
40,36420,2016.04
51,47894,4305.00
37,,9602.00
53,42644,0244.00
42,37964,2058.09
42,38300,6042.00
36,35644,0319.01
39,17460,1381.07
29,41140,0009.00
47,32820,0107.20
35,10740,0002.08
47,,1102.00
39,17460,1881.03
48,41700,1215.04
36,28740,9527.00
34,20764,0014.12
51,40060,1009.12
31,30700,0030.01
37,11700,9915.00
39,31900,0006.00
36,35644,0056.00
53,14740,0917.00
29,17860,0020.00
39,17460,1014.00
55,24580,0102.02
41,38900,0316.11
39,17460,1781.02
36,35644,0121.00
45,24860,0108.01
72,10380,4007.00
48,41700,1821.01
37,22180,0029.00
48,26420,5336.00
37,,9801.00
48,23104,1140.03
39,,0007.01
48,,0004.00
39,17460,1134.00
40,36420,1083.09
39,17460,4082.00
42,21500,0115.08
39,17460,0502.00
34,15804,6091.02
34,20764,0510.00
72,41980,0042.00
51,47260,0304.00
34,12100,0105.01
48,41700,1219.02
48,19124,0313.03
33,40484,0037.00
48,12420,0013.03
41,38900,0096.06
49,36260,1254.01
36,35644,0613.00
36,35644,0052.01
34,12100,0102.00
39,17460,1331.03
39,17460,1231.00
41,38900,0243.01
28,27140,0106.00
27,33460,0611.07
48,13140,0111.01
34,15804,6003.00
34,15804,7010.01
48,31180,0018.01
36,,0374.00
48,23104,1402.00
39,17460,2029.00
39,18140,0001.20
40,36420,3012.01
53,,9707.00
39,17460,1146.00
48,19124,0192.10
47,32820,0213.31
39,18140,0325.00
42,38300,1803.00
42,38300,4580.00
48,12420,0108.01
45,34820,0516.01
48,19124,0190.33
48,23104,1132.13
34,35084,0462.02
37,48900,0117.01
41,38900,0070.00
36,35644,0075.00
39,17460,1772.02
42,38300,4132.01
55,24580,0208.00
55,24580,0209.00
39,17460,1217.00
45,12260,9702.00
48,26420,4518.00
36,35004,4120.00
36,,9602.00
34,20764,0511.00
42,37964,0233.00
38,,9729.00
42,37964,2009.08
37,,0509.01
39,15940,7008.00
53,42644,0012.00
27,33460,0601.04
42,38300,1501.00
40,,9531.00
53,42644,0527.01
34,20764,8106.00
34,20764,0006.08
34,15804,6039.01
36,35644,1099.00
48,19124,0122.08
55,39540,0002.00
39,17140,0003.02
47,32820,0039.00
48,19124,0110.01
42,38300,8018.00
37,,0102.00
45,17900,0001.00
34,35644,0034.02
39,18140,0056.10
51,,0303.00
34,35644,0236.00
34,20764,8012.00
48,23104,1404.03
51,,0408.00
39,17460,2002.00
39,18140,0093.90
48,26420,5214.00
48,19124,0190.30
48,41700,1816.01
50,15540,0110.00
34,20764,7190.00
44,39300,0215.01
34,36140,0210.00
39,18140,0081.32
51,,9901.01
27,33460,0307.04
39,17460,1801.04
48,26420,5412.00
42,27780,0106.00
34,20764,8104.02
39,17460,1084.00
36,35644,0101.01
40,,9838.00
53,49420,0028.00
48,23104,1136.21
42,37964,0305.00
29,28140,0213.06
36,13780,0207.01
48,48660,0118.00
53,42644,0218.02
42,38300,9121.02
34,15804,6042.00
34,20764,0501.00
36,35644,0277.02
28,27140,0208.02
36,10580,0137.05
37,39580,0520.02
42,38300,8051.00
48,,9502.03
42,38300,9029.00
45,11340,0106.00
42,38300,8033.01
36,10580,0201.02
39,18140,7522.00
39,17460,1862.03
53,42644,0216.00
42,48700,0002.00
45,34820,0513.00
45,34820,0704.00
36,,9920.00
40,,9802.00
39,45780,0511.00
42,38300,4771.00
45,,0205.00
39,17140,0107.00
34,15804,7021.01
44,39300,0015.00
34,20764,8076.00
44,39300,0509.01
42,29540,0102.02
54,25180,9713.00
44,39300,0166.00
49,,9420.00
39,15940,7132.02
42,38300,4268.00
37,20500,9804.00
36,10580,0218.00
34,35644,0159.00
48,21340,0010.02
47,,9851.00
39,17460,1782.06
40,,9879.00
27,33460,0509.01
42,21500,0106.00
27,33460,0702.03
45,24860,0018.06
72,41980,2027.02
51,,2001.00
37,20500,0017.06
42,38300,4731.00
54,48540,0209.00
45,,0012.00
53,42644,0517.02
29,28140,0611.00
42,38300,4721.00
48,48660,0132.00
46,,9852.00
36,45060,0057.00
48,19124,0038.00
45,16700,0029.00
41,38900,0324.06
35,,9454.00
39,17140,0001.00
51,47894,0101.05
53,,9606.00
36,,9605.00
36,10580,0404.00
53,42644,0522.03
42,38300,8072.00
55,29404,0025.00
36,,0100.00
37,11700,9801.00
72,41980,1006.00
48,23104,1053.00
42,38300,4263.00
37,25860,0118.02
48,18580,0102.00
31,36540,0012.00
35,,9601.00
48,41700,1211.15
29,41180,2126.00
42,38300,8082.00
42,38300,5261.01
37,27340,0001.01
42,38300,4885.00
41,38900,0315.10
39,17460,1501.00
34,35084,3748.00
42,27780,0104.00
36,35004,4141.00
39,19380,0401.03
28,37700,0420.00
39,17140,0131.00
48,41700,1214.03
48,19124,0120.00
41,,0202.00
48,19124,0078.06
36,15380,0100.01
31,36540,0102.05
34,35084,0212.00
48,12420,0211.00
51,47260,0311.00
34,20764,0065.00
35,,0002.01
39,19380,0504.01
27,33460,0424.02
47,,0804.00
32,,9705.00
42,38300,6002.00
48,41700,1906.01
49,36260,2104.01
48,47380,0017.00
42,38300,1608.00
37,24660,0165.04
42,38300,9116.00
55,33340,6603.01
45,43900,0225.00
55,33340,2022.02
48,19124,0215.11
37,,9607.00
56,,9635.00
55,33340,0188.00
48,19124,0144.07
36,13780,0133.04
51,47894,5001.00
34,20764,0062.06
42,38300,2604.01
46,43620,0003.00
39,18140,0047.00
32,29820,0040.00
45,24860,0030.03
42,37964,0284.00
56,,0003.01
37,39580,0506.00
48,26420,4211.00
42,,0115.00
48,41700,3103.00
39,17140,0206.01
45,16700,0038.00
48,12420,0022.02
55,33340,1205.01
72,49500,7404.00
42,38300,6007.00
42,37964,2031.05
48,15180,0125.08
42,38300,4736.02
41,38900,0306.00
34,35084,0303.00
51,47260,0322.21
47,32820,0213.52
40,46140,0014.00
49,41620,1134.07
47,17300,1003.00
36,10580,0625.01
35,10740,9712.00
45,16700,0209.02
39,18140,0060.00
27,33460,0507.10
45,16700,0048.00
29,41180,1062.00
39,18140,0114.12
42,37964,0356.00
34,20764,0058.00
39,18140,0070.10
48,19124,0073.01
41,38900,0093.01
34,35084,0362.00
37,25860,0205.00
39,,9519.00
51,40060,2008.04
42,38300,2704.00
42,38300,8047.01
42,37964,0362.02
53,,9811.00
39,18140,0077.40
37,16740,0016.03
53,42644,0222.02
39,,9775.00
36,35644,0221.02
34,15804,6029.02
36,,0706.00
27,33460,0215.02
34,15804,7003.03
39,18140,0073.92
53,44060,0114.00
39,17460,1197.01
53,42644,0092.00
32,29820,0053.35
38,13900,0106.00
55,33340,0180.02
36,,9520.00
33,,0190.00
53,42644,0412.01
48,12420,0020.04
42,38300,0403.00
48,26420,3332.00
37,39580,0538.02
48,19124,0133.00
48,19124,0210.00
47,,0107.00
55,,9609.00
29,41180,2157.00
47,28940,0062.02
72,41980,5205.00
39,18140,0327.00
42,25420,0230.00
48,19124,0170.04
47,34980,0102.00
39,18140,0026.00
33,,9758.00
39,18140,0507.00
36,39100,1000.00
37,,0705.00
41,,9602.00
34,20764,7221.00
39,18140,0095.20
42,37964,1003.03
36,35644,0752.00
37,24660,0111.01
37,16740,0203.04
42,38300,9123.00
53,42644,0323.14
36,10580,0601.01
48,48660,0303.02
45,22500,0109.00
53,42644,0323.24
48,21340,0103.15
40,,9716.00
47,,9663.00
36,40380,0117.05
36,28740,9552.00
39,18140,0071.12
48,41700,2108.02
55,33340,0169.00
40,36420,2014.03
48,26420,7102.00
36,35644,0227.01
40,,9721.00
27,33460,1098.00
30,,0102.00
27,33460,0505.05
40,46140,0502.01
48,12420,0205.04
34,35644,0216.00
42,27780,0116.00
48,12420,0024.21
42,38300,4150.01
42,38300,4751.01
45,,0119.00
45,12260,0210.02
48,13140,0003.06
48,19124,0088.02
42,37964,2034.03
44,39300,0154.00
51,47260,1002.00
42,37964,4098.03
41,38900,0304.01
36,35004,1905.01
36,35644,0495.00
27,33460,1088.00
34,20764,0074.02
41,38900,0324.04
34,35084,0174.00
37,,0605.00
39,19380,2102.00
53,42644,0285.00
48,41700,1218.07
27,33460,1093.00
72,41980,5002.00
34,15804,6002.00
42,37964,3008.00
34,35084,0127.00
51,25500,0115.00
42,38300,2206.00
32,,9804.03
37,,0008.01
31,30700,0012.00
36,,0625.00
39,17460,4161.00
53,42644,0241.00
32,29820,0056.11
34,20764,0520.01
39,10420,5051.00
37,39580,0411.00
29,28140,0608.00
72,38660,0727.03
53,44060,0050.00
36,45060,0017.02
48,26420,4333.00
48,21340,0043.10
36,15380,0013.01
44,39300,0501.02
34,20764,0072.03
39,17140,0315.00
45,,0213.01
34,15804,6027.02
32,,0004.00
42,38300,7620.00
29,41180,2163.00
42,38300,7910.00
34,35644,0009.02
55,11540,0132.00
53,14740,0912.03
38,,9401.00
36,35004,1108.01
36,,0607.00
36,,9611.00
42,10900,0106.00
40,36420,1007.00
36,,9929.00
34,20764,0014.10
39,17460,1205.00
36,35644,0125.00
46,,9413.00
40,46140,0068.01
36,,0803.00
36,,9503.00
48,26420,4313.00
27,33460,1226.00
49,41620,9942.00
39,17460,1523.02
55,11540,0118.00
48,26420,2536.00
31,,9871.00
42,37964,0003.00
55,39540,0017.02
34,20764,0010.02
39,17460,1851.02
29,41180,1151.00
36,,9623.00
31,,9405.00
27,33460,0259.05
48,19124,0136.11
48,26420,5426.00
48,26420,2321.00
36,15380,0243.01
53,28420,0118.00
32,29820,0027.07
42,38300,4742.02
34,48864,0206.00
42,38300,4360.00
72,41980,0035.02
48,21340,0008.00
34,20764,8087.00
42,37964,2032.03
39,31900,0015.00
48,19124,0013.01
50,,9609.00
53,42644,0418.06
39,37620,0205.00
29,28140,0071.00
40,36420,1068.03
48,26420,3404.00
29,,9510.00
51,47260,0105.01
47,,0502.00
37,16740,0063.01
45,22500,0110.00
36,35004,3032.01
36,35644,0286.00
31,,9807.00
39,48540,0120.00
40,36420,1040.00
39,17460,2048.00
27,33460,0374.03
54,16620,0112.00
39,17460,1841.07
37,24660,0127.07
27,33460,0404.01
36,35004,1226.01
55,,9706.00
53,42644,0294.06
42,38300,4890.02
36,10580,0140.01
28,32820,
54,16620,0108.01
36,35644,0108.04
36,35004,4145.02
36,10580,0146.08
37,39580,0540.09
42,38300,4883.00
29,28140,0130.01
49,36260,1251.04
36,15380,0027.01
48,19124,9612.00
48,19124,0122.07
36,13780,0139.00
39,,9679.00
42,38300,7542.00
51,47260,2130.01
41,38900,0210.00
37,40580,0101.00
36,10580,0525.01
36,10580,0526.01
34,12100,0118.02
27,20260,0104.00
72,41980,0076.00
47,32820,0211.34
42,37964,0201.00
48,41700,1316.05
55,33340,1203.00
36,10580,0611.00
48,48660,0203.00
36,10580,0612.00
42,42540,2166.00
39,17460,1261.00
27,33460,0502.27
32,29820,0036.14
34,20764,7311.01
53,42644,0240.00
37,16740,0059.04
34,35084,0456.01
45,,0303.00
34,35644,0044.00
39,17140,0109.02
51,47260,0115.00
49,,1001.00
53,44060,0011.00
47,28940,0057.05
48,41700,1718.02
42,37964,2069.01
31,30700,0036.05
47,34980,9701.00
36,10580,0620.00
42,,3012.03
41,38900,0327.00
29,41180,1075.00
45,16700,0207.06
34,20764,8102.00
37,39580,0539.00
39,45780,0216.00
37,,0709.00
34,10900,0311.01
36,35644,0430.00
29,28140,0062.00
42,10900,0146.00
48,19124,0145.02
39,,9706.00
48,19124,0078.10
39,,9737.00
42,38300,4513.00
48,,7906.00
72,,9571.00
37,11700,9914.00
39,18140,0071.13
31,,9926.00
36,10580,0330.04
36,40380,0510.00
45,24860,0105.01
39,19380,3901.00
36,10580,9901.00
36,10580,9905.00
34,20764,8089.00
51,40060,8204.00
36,35644,0306.00
41,38900,0048.00
53,44060,0103.01
41,38900,0055.00
34,20764,8018.00
53,44060,0012.00
42,37964,4079.02
48,19124,9604.00
37,16740,0206.00
41,38900,0336.00
36,10580,0021.00
51,40060,1004.03
37,39580,0541.04
48,19124,0061.00
32,29820,0032.05
46,43620,0102.00
35,10740,0101.02
46,43620,0103.00
39,17140,0215.09
36,10580,0401.00
37,20500,0004.02
42,38300,1413.00
34,12100,0101.01
39,18140,0074.92
48,,0204.01
34,35084,0158.00
38,,9514.00
48,33260,0003.03
32,29820,0017.18
47,32820,0224.22
41,38900,0028.02
48,23104,1115.25
39,18140,0079.33
27,33460,0508.06
29,41180,2179.31
39,17460,1176.00
53,42644,0117.00
31,,9796.00
42,38300,2621.00
36,13780,0204.02
48,19124,0190.36
45,,0101.00
51,40060,1009.24
53,38900,0413.15
54,25180,9712.00
45,,0102.00
54,16620,9587.00
36,40380,0144.00
34,20764,0509.03
38,24220,0110.00
40,46140,
42,37964,2073.00
33,,9558.00
29,28140,0009.00
45,,0106.00
55,33340,0905.00
49,30860,0004.01
27,33460,0318.01
45,,9601.00
53,49420,0027.01
35,10740,0001.21
37,,0004.00
34,35084,0196.00
45,,9703.00
45,,9703.02
47,34980,0210.01
32,29820,0058.10
42,42540,2115.00
41,38900,0206.00
48,41700,1911.01
34,20764,0020.00
53,,9814.00
55,33340,4701.00
45,,0209.00
36,,0609.00
55,11540,0116.00
